Time,LFP_Gpi_L_02_PEAK8Hz_THR20-30_AVG3000ms,LFP_Gpi_R_02_PEAK8Hz_THR20-30_AVG3000ms,STIM_L_180Hz_120us,STIM_R_180Hz_120us
2020-01-15 08:54:47.500,1436,5550,0.8,1.4
2020-01-15 08:54:48.000,1436,5550,0.8,1.4
2020-01-15 08:54:48.500,1436,5550,0.8,1.4
2020-01-15 08:54:49.000,1436,5550,0.8,1.4
2020-01-15 08:54:49.500,1436,5550,0.8,1.4
2020-01-15 08:54:50.000,1436,5550,0.8,1.4
2020-01-15 08:54:50.500,1505,6731,0.8,1.4
2020-01-15 08:54:51.000,1505,6731,0.8,1.4
2020-01-15 08:54:51.500,1505,6731,0.8,1.4
2020-01-15 08:54:52.000,1505,6731,0.8,1.4
2020-01-15 08:54:52.500,1505,6731,0.8,1.4
2020-01-15 08:54:53.000,1505,6731,0.8,1.4
2020-01-15 08:54:53.500,1704,4614,0.8,1.4
2020-01-15 08:54:54.000,1704,4614,0.8,1.4
2020-01-15 08:54:54.500,1704,4614,0.8,1.4
2020-01-15 08:54:55.000,1704,4614,0.8,1.4
2020-01-15 08:54:55.500,1704,4614,0.8,1.4
2020-01-15 08:54:56.000,1704,4614,0.8,1.4
2020-01-15 08:54:56.500,1118,4428,0.8,1.4
2020-01-15 08:54:57.000,1118,4428,0.8,1.4
2020-01-15 08:54:57.500,1118,4428,0.8,1.4
2020-01-15 08:54:58.000,1118,4428,0.8,1.4
2020-01-15 08:54:58.500,1118,4428,0.8,1.4
2020-01-15 08:54:59.000,1118,4428,0.8,1.4
2020-01-15 08:54:59.500,1324,4054,0.8,1.4
2020-01-15 08:55:00.000,1324,4054,0.8,1.4
2020-01-15 08:55:00.500,1324,4054,0.8,1.4
2020-01-15 08:55:01.000,1324,4054,0.8,1.4
2020-01-15 08:55:01.500,1324,4054,0.8,1.4
2020-01-15 08:55:02.000,1324,4054,0.8,1.4
2020-01-15 08:55:02.500,909,4438,0.8,1.4
2020-01-15 08:55:03.000,909,4438,0.8,1.4
2020-01-15 08:55:03.500,909,4438,0.8,1.4
2020-01-15 08:55:04.000,909,4438,0.8,1.4
2020-01-15 08:55:04.500,909,4438,0.8,1.4
2020-01-15 08:55:05.000,909,4438,0.8,1.4
2020-01-15 08:55:05.500,1722,4949,0.8,1.4
2020-01-15 08:55:06.000,1722,4949,0.8,1.4
2020-01-15 08:55:06.500,1722,4949,0.8,1.4
2020-01-15 08:55:07.000,1722,4949,0.8,1.4
2020-01-15 08:55:07.500,1722,4949,0.8,1.4
