Frequency,Aufnahme_7_LFP_Gpi_L_02_20200115083757,Aufnahme_7_LFP_Gpi_R_02_20200115083757,Aufnahme_8_LFP_Gpi_L_02_20200115083914,Aufnahme_8_LFP_Gpi_R_02_20200115083914
0,5.59154560710858,6.2073545946756,9.28196570780024,18.0678356952165
0.98,6.70985472853029,10.0869512163479,11.2949221263593,25.0511096142265
1.95,6.03886925567726,7.09411953677212,9.05830388351589,20.3955936682198
2.93,3.69042010069166,4.6555159460067,6.03886925567726,11.7496354827788
3.91,2.68394189141212,3.21452291509986,4.13774374926035,8.31342133215482
4.88,1.90112550641692,2.77114044405161,3.1312655399808,6.65073706572386
5.86,1.67746368213257,2.88198606181367,2.68394189141212,4.76636156376876
6.84,1.90112550641692,3.21452291509986,2.46028006712777,4.98805279929289
7.81,2.01295641855909,3.32536853286193,2.46028006712777,4.6555159460067
8.79,1.90112550641692,3.65790538614812,2.3484491549856,4.54467032824464
9.77,1.78929459427474,3.76875100391019,2.23661824284343,3.99044223943431
10.74,1.67746368213257,3.54705976838606,2.01295641855909,3.76875100391019
11.72,1.78929459427474,3.43621415062399,1.90112550641692,3.76875100391019
12.7,1.67746368213257,3.65790538614812,1.67746368213257,3.54705976838606
13.67,1.78929459427474,3.43621415062399,1.67746368213257,3.54705976838606
14.65,1.67746368213257,3.54705976838606,1.5656327699904,3.43621415062399
15.63,1.5656327699904,3.54705976838606,1.5656327699904,2.99283167957574
16.6,1.45380185784823,2.99283167957574,1.5656327699904,2.88198606181367
17.58,1.45380185784823,2.88198606181367,1.34197094570606,2.88198606181367
18.55,1.45380185784823,2.66029482628954,1.23014003356389,2.99283167957574
19.53,1.5656327699904,2.77114044405161,1.34197094570606,2.88198606181367
20.51,1.34197094570606,2.66029482628954,1.34197094570606,2.77114044405161
21.48,1.23014003356389,2.21691235524129,1.23014003356389,2.32775797300335
22.46,1.23014003356389,1.99522111971716,1.11830912142172,2.10606673747922
23.44,1.11830912142172,1.99522111971716,1.00647820927954,1.99522111971716
24.41,1.23014003356389,1.88437550195509,1.00647820927954,1.99522111971716
25.39,1.00647820927954,1.88437550195509,1.00647820927954,1.88437550195509
26.37,0.894647297137372,1.77352988419303,1.00647820927954,1.5518386486689
27.34,0.782816384995201,1.5518386486689,0.894647297137372,1.5518386486689
28.32,0.670985472853029,1.44099303090684,0.782816384995201,1.5518386486689
29.3,0.670985472853029,1.33014741314477,0.782816384995201,1.44099303090684
30.27,0.670985472853029,1.21930179538271,0.782816384995201,1.33014741314477
31.25,0.670985472853029,0.997610559858579,0.782816384995201,1.21930179538271
32.23,0.670985472853029,0.997610559858579,0.782816384995201,1.21930179538271
33.2,0.559154560710858,0.886764942096514,0.670985472853029,1.21930179538271
34.18,0.670985472853029,0.997610559858579,0.670985472853029,0.997610559858579
35.16,0.670985472853029,0.886764942096514,0.670985472853029,0.886764942096514
36.13,0.670985472853029,0.886764942096514,0.447323648568686,0.997610559858579
37.11,0.559154560710858,0.886764942096514,0.559154560710858,0.886764942096514
38.09,0.670985472853029,0.77591932433445,0.559154560710858,0.886764942096514
39.06,0.447323648568686,0.665073706572386,0.559154560710858,0.77591932433445
40.04,0.447323648568686,0.665073706572386,0.559154560710858,0.77591932433445
41.02,0.447323648568686,0.665073706572386,0.559154560710858,0.665073706572386
41.99,0.447323648568686,0.665073706572386,0.447323648568686,0.665073706572386
42.97,0.447323648568686,0.554228088810321,0.447323648568686,0.554228088810321
43.95,0.447323648568686,0.665073706572386,0.559154560710858,0.554228088810321
44.92,0.447323648568686,0.554228088810321,0.447323648568686,0.554228088810321
45.9,0.447323648568686,0.554228088810321,0.447323648568686,0.554228088810321
46.88,0.447323648568686,0.554228088810321,0.335492736426515,0.443382471048257
47.85,0.335492736426515,0.554228088810321,0.335492736426515,0.443382471048257
48.83,0.335492736426515,0.554228088810321,0.447323648568686,0.443382471048257
49.8,0.335492736426515,0.554228088810321,0.335492736426515,0.554228088810321
50.78,0.335492736426515,0.443382471048257,0.335492736426515,0.554228088810321
51.76,0.335492736426515,0.443382471048257,0.335492736426515,0.443382471048257
52.73,0.335492736426515,0.443382471048257,0.447323648568686,0.443382471048257
53.71,0.335492736426515,0.443382471048257,0.335492736426515,0.443382471048257
